172.28.8.2 172.27.9.127 - - [25/Apr/2025:00:00:05 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VM1-9THSTR--08622 HTTP/1.1" 200 4 31157us 31ms 0s
172.28.8.2 172.27.12.245 - - [25/Apr/2025:00:00:05 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--06408 HTTP/1.1" 200 4 15663us 15ms 0s
172.28.8.2 172.27.1.215 - - [25/Apr/2025:00:00:05 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--05443 HTTP/1.1" 200 4 15715us 15ms 0s
172.28.8.2 172.27.11.145 - - [25/Apr/2025:00:00:05 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--05742 HTTP/1.1" 200 4 31320us 31ms 0s
172.29.1.48 172.24.133.20 - - [25/Apr/2025:00:00:04 -0400] "POST /SOMetkOnline.APIS/validations HTTP/1.1" 200 282 218819us 218ms 0s
172.28.8.2 172.27.3.154 - - [25/Apr/2025:00:00:05 -0400] "POST /SOMebkOnline.APIS//paramConfig HTTP/1.1" 200 127 109409us 109ms 0s
172.28.8.2 172.27.3.53 - - [25/Apr/2025:00:00:05 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--20095 HTTP/1.1" 200 4 17033us 17ms 0s
172.28.8.2 172.27.12.102 - - [25/Apr/2025:00:00:05 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--06518 HTTP/1.1" 200 4 15594us 15ms 0s
172.28.8.2 172.27.3.52 - - [25/Apr/2025:00:00:05 -0400] "GET /SOMebkOnline.APIS//ticketing/check?applicationId=F0544E4D505484000100000000000000 HTTP/1.1" 200 - 0us 0ms 0s
172.28.8.2 172.27.6.151 - - [25/Apr/2025:00:00:05 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--05893 HTTP/1.1" 200 4 62501us 62ms 0s
172.28.8.2 172.27.6.246 - - [25/Apr/2025:00:00:05 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--05282 HTTP/1.1" 200 4 46800us 46ms 0s
172.29.1.48 10.6.12.119 - - [25/Apr/2025:00:00:05 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01TE1SEC-1-5--08005 HTTP/1.1" 200 4 15685us 15ms 0s
172.28.8.2 172.27.13.127 - - [25/Apr/2025:00:00:05 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--05445 HTTP/1.1" 200 4 31355us 31ms 0s
172.29.1.48 10.6.12.141 - - [25/Apr/2025:00:00:05 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01TE1SEC-2A-1-08016 HTTP/1.1" 200 4 46820us 46ms 0s
172.28.8.2 172.27.6.192 - - [25/Apr/2025:00:00:05 -0400] "POST /SOMabtOnline.APIS//paramGraylist HTTP/1.1" 200 67 46862us 46ms 0s
172.28.8.2 172.27.11.23 - - [25/Apr/2025:00:00:05 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--19116 HTTP/1.1" 200 4 31127us 31ms 0s
172.28.8.2 172.27.0.110 - - [25/Apr/2025:00:00:05 -0400] "GET /SOMetkOnline.APIS/check?deviceTSC=01VB1-NJTBUS--06220 HTTP/1.1" 200 4 31227us 31ms 0s
